episode: 7521/200000, score: -141.8, average: -94.41
episode: 7522/200000, score: -4.399999999999153, average: -92.38
episode: 7523/200000, score: -125.09999999999997, average: -93.75
episode: 7524/200000, score: -81.10000400000006, average: -92.35
episode: 7525/200000, score: -126.5, average: -96.31
episode: 7526/200000, score: 211.66000000000045, average: -90.29
episode: 7527/200000, score: -103.3, average: -89.33
episode: 7528/200000, score: -101.9, average: -89.27
episode: 7529/200000, score: 1.5000000000005684, average: -86.56
episode: 7530/200000, score: -139.10000000000002, average: -87.10
episode: 7531/200000, score: -150.0000000000001, average: -89.46
episode: 7532/200000, score: -111.3, average: -90.04
episode: 7533/200000, score: -66.80480360000013, average: -93.35
episode: 7534/200000, score: -132.10000000000005, average: -93.76
episode: 7535/200000, score: -118.00000000000017, average: -93.59
episode: 7536/200000, score: -123.50000000000006, average: -94.68
episode: 7537/200000, score: -91.89999999999998, average: -95.30
episode: 7538/200000, score: -110.99999999999999, average: -94.45
episode: 7539/200000, score: 73.49999600000055, average: -90.47
episode: 7540/200000, score: 120.76239800000221, average: -85.67
episode: 7541/200000, score: -123.29999999999998, average: -86.05
episode: 7542/200000, score: -78.30000000000037, average: -85.82
episode: 7543/200000, score: -69.50000000000017, average: -84.39
episode: 7544/200000, score: -120.35440000000006, average: -83.69
episode: 7545/200000, score: -121.09999999999997, average: -84.21
episode: 7546/200000, score: -94.60000000000005, average: -84.32
episode: 7547/200000, score: -75.29999999999998, average: -83.14
episode: 7548/200000, score: -149.50000000000003, average: -83.69
episode: 7549/200000, score: -125.79999999999998, average: -84.71
episode: 7550/200000, score: -110.0, average: -85.11
episode: 7551/200000, score: -16.802404999999382, average: -82.85
episode: 7552/200000, score: -85.986403, average: -82.94
episode: 7553/200000, score: -147.6000000000001, average: -83.98
episode: 7554/200000, score: -122.60000000000002, average: -83.81
episode: 7555/200000, score: -96.50000000000004, average: -82.99
episode: 7556/200000, score: -126.30000000000001, average: -84.73
episode: 7557/200000, score: -30.059203499999825, average: -82.81
episode: 7558/200000, score: -129.89999999999998, average: -82.73
episode: 7559/200000, score: -136.8, average: -84.26
episode: 7560/200000, score: -52.4600009999998, average: -83.08
episode: 7561/200000, score: -108.19999999999999, average: -82.98
episode: 7562/200000, score: -100.61840060000009, average: -83.06
episode: 7563/200000, score: -39.86560299999982, average: -81.58
episode: 7564/200000, score: -89.88640299999997, average: -81.33
episode: 7565/200000, score: -93.29999999999997, average: -80.80
episode: 7566/200000, score: 173.59999999999556, average: -78.99
episode: 7567/200000, score: -131.40000000000006, average: -82.63
episode: 7568/200000, score: -81.3000040000001, average: -81.75
episode: 7569/200000, score: -126.79999999999998, average: -81.72
episode: 7570/200000, score: -116.90000000000015, average: -80.96
episode: 7571/200000, score: -109.2, average: -80.30
episode: 7572/200000, score: -123.19999999999999, average: -82.68
episode: 7573/200000, score: -121.40000000000002, average: -82.61
episode: 7574/200000, score: -148.90000000000006, average: -83.96
episode: 7575/200000, score: -144.20000000000005, average: -84.32
episode: 7576/200000, score: -133.40000000000003, average: -91.22
episode: 7577/200000, score: -116.69999999999996, average: -91.49
episode: 7578/200000, score: -132.00000000000006, average: -92.09
episode: 7579/200000, score: -151.9000000000001, average: -95.16
episode: 7580/200000, score: -118.69999999999999, average: -94.75
episode: 7581/200000, score: -128.01840060000015, average: -94.31
episode: 7582/200000, score: -131.00000000000003, average: -94.70
episode: 7583/200000, score: -81.20000000000007, average: -94.99
episode: 7584/200000, score: -81.46560300000021, average: -93.98
episode: 7585/200000, score: 3.2000000000001023, average: -91.55
episode: 7586/200000, score: -123.10000000000001, average: -91.55
episode: 7587/200000, score: -145.6000000000001, average: -92.62
episode: 7588/200000, score: -144.2000000000001, average: -93.28
episode: 7589/200000, score: -121.20000000000007, average: -97.18
episode: 7590/200000, score: -81.60000000000007, average: -101.22
episode: 7591/200000, score: -121.40000000000008, average: -101.19
episode: 7592/200000, score: -110.90000000000003, average: -101.84
episode: 7593/200000, score: -131.0000000000001, average: -103.07
episode: 7594/200000, score: -130.46560300000007, average: -103.27
episode: 7595/200000, score: -1.4480004999997504, average: -100.88
episode: 7596/200000, score: -67.60000000000005, average: -100.34
episode: 7597/200000, score: -114.19999999999999, average: -101.12
episode: 7598/200000, score: -100.34000000000015, average: -100.13
episode: 7599/200000, score: 172.0999999999955, average: -94.17
episode: 7600/200000, score: -155.00000000000014, average: -95.07
episode: 7601/200000, score: -99.7048036000001, average: -96.73
episode: 7602/200000, score: -136.1000000000001, average: -97.73
episode: 7603/200000, score: -116.79999999999998, average: -97.12
episode: 7604/200000, score: -116.49999999999997, average: -97.00
episode: 7605/200000, score: -151.90000000000003, average: -98.10
episode: 7606/200000, score: -132.16560300000006, average: -98.22
episode: 7607/200000, score: -113.39999999999998, average: -99.89
episode: 7608/200000, score: -148.40000000000006, average: -100.26
episode: 7609/200000, score: -99.7000000000001, average: -99.52
episode: 7610/200000, score: -126.89999999999995, average: -101.01
episode: 7611/200000, score: -96.20000000000012, average: -100.77
episode: 7612/200000, score: -116.99999999999997, average: -101.09
episode: 7613/200000, score: -123.40000000000006, average: -102.76
episode: 7614/200000, score: -121.19999999999999, average: -103.39
episode: 7615/200000, score: -5.380003999999403, average: -101.63
episode: 7616/200000, score: -125.30000000000001, average: -107.61
episode: 7617/200000, score: -114.29999999999998, average: -107.27
episode: 7618/200000, score: -63.90000000000013, average: -106.92
episode: 7619/200000, score: -127.5, average: -106.93
episode: 7620/200000, score: -125.39999999999998, average: -107.10
episode: 7621/200000, score: -74.40000000000025, average: -106.41
episode: 7622/200000, score: -82.34000000000006, average: -105.59
episode: 7623/200000, score: -132.6, average: -105.81
episode: 7624/200000, score: -153.00000000000009, average: -105.90
episode: 7625/200000, score: -120.20000399999998, average: -105.42
episode: 7626/200000, score: -87.44000000000008, average: -104.50
episode: 7627/200000, score: -133.40000000000003, average: -104.83
episode: 7628/200000, score: -126.60000000000001, average: -104.72
episode: 7629/200000, score: -147.3, average: -104.63
episode: 7630/200000, score: -103.40000000000003, average: -104.33
episode: 7631/200000, score: -147.5000000000002, average: -104.71
episode: 7632/200000, score: -122.50000000000003, average: -104.54
episode: 7633/200000, score: -75.4000000000002, average: -104.43
episode: 7634/200000, score: -29.9999999999997, average: -103.40
episode: 7635/200000, score: -94.0000000000001, average: -105.34
episode: 7636/200000, score: -91.60000400000014, average: -104.71
episode: 7637/200000, score: 59.59999999999994, average: -100.61
episode: 7638/200000, score: -126.56560300000001, average: -100.26
episode: 7639/200000, score: -149.00000000000003, average: -100.81
episode: 7640/200000, score: -115.59999999999998, average: -101.49
episode: 7641/200000, score: -149.40000000000006, average: -102.05
episode: 7642/200000, score: -111.40000000000008, average: -102.06
episode: 7643/200000, score: 25.23439700000074, average: -98.94
episode: 7644/200000, score: -136.6000000000001, average: -99.06
episode: 7645/200000, score: -136.60000000000002, average: -101.76
episode: 7646/200000, score: -134.90000000000003, average: -103.11
episode: 7647/200000, score: -150.10000000000008, average: -103.83
episode: 7648/200000, score: -100.00000000000009, average: -103.82
episode: 7649/200000, score: -80.80000000000003, average: -108.88
episode: 7650/200000, score: 434.09999599999344, average: -97.10
episode: 7651/200000, score: -45.053600500000144, average: -96.00
