Running on device: cuda
2023-12-17 22:44:19
Hyper Parameters:
BATCH_SIZE: 128
GAMMA: 0.99
EPS_START: 0.9
EPS_END: 0.05
EPS_DECAY: 1200
TAU: 0.005
LR: 0.001
| Episode:  312 | Episode reward:  -61.99999999999999  |  Average reward:  -73.47
| Episode:  313 | Episode reward:  -55.99999999999999  |  Average reward:  -73.34
| Episode:  314 | Episode reward:  -83.0  |  Average reward:  -73.12
| Episode:  315 | Episode reward:  -79.0  |  Average reward:  -73.16
| Episode:  316 | Episode reward:  -73.0  |  Average reward:  -73.18
| Episode:  317 | Episode reward:  -76.0  |  Average reward:  -73.14
| Episode:  318 | Episode reward:  -70.0  |  Average reward:  -73.1
| Episode:  319 | Episode reward:  -70.0  |  Average reward:  -73.47
| Episode:  320 | Episode reward:  -73.0  |  Average reward:  -73.41
| Episode:  321 | Episode reward:  -39.99999999999999  |  Average reward:  -73.35
| Episode:  322 | Episode reward:  -72.0  |  Average reward:  -73.01
| Episode:  323 | Episode reward:  -84.00000000000001  |  Average reward:  -73.11
| Episode:  324 | Episode reward:  -71.0  |  Average reward:  -73.17
| Episode:  325 | Episode reward:  -62.99999999999999  |  Average reward:  -73.06
| Episode:  326 | Episode reward:  -76.0  |  Average reward:  -72.98
| Episode:  327 | Episode reward:  -79.0  |  Average reward:  -72.95
| Episode:  328 | Episode reward:  -72.0  |  Average reward:  -72.87
| Episode:  329 | Episode reward:  -56.99999999999999  |  Average reward:  -72.79
| Episode:  330 | Episode reward:  -77.0  |  Average reward:  -72.6
| Episode:  331 | Episode reward:  -66.0  |  Average reward:  -72.68
| Episode:  332 | Episode reward:  -82.0  |  Average reward:  -72.62
| Episode:  333 | Episode reward:  -68.0  |  Average reward:  -72.69
| Episode:  334 | Episode reward:  -77.0  |  Average reward:  -72.7
| Episode:  335 | Episode reward:  -72.0  |  Average reward:  -72.68
| Episode:  336 | Episode reward:  -81.0  |  Average reward:  -72.6
| Episode:  337 | Episode reward:  -69.0  |  Average reward:  -72.59
| Episode:  338 | Episode reward:  -77.0  |  Average reward:  -72.52
| Episode:  339 | Episode reward:  -69.0  |  Average reward:  -72.6
| Episode:  340 | Episode reward:  -75.0  |  Average reward:  -72.58
| Episode:  341 | Episode reward:  -65.0  |  Average reward:  -72.64
| Episode:  342 | Episode reward:  -67.0  |  Average reward:  -72.7
| Episode:  343 | Episode reward:  -72.0  |  Average reward:  -72.61
| Episode:  344 | Episode reward:  -71.0  |  Average reward:  -72.57
| Episode:  345 | Episode reward:  -68.0  |  Average reward:  -72.44
